               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024896,           0.0068062,           0.0024302,              0.9531,             0.96388,             0.97875,             0.63637,            0.019528,           0.0070563,           0.0016558,             0.00307,             0.00307,             0.00307
                  37,            0.024198,           0.0069323,           0.0023157,             0.96289,             0.95662,             0.98098,             0.67035,            0.019052,           0.0069532,           0.0016196,            0.002872,            0.002872,            0.002872
                  38,            0.023656,            0.006872,           0.0028794,             0.96149,             0.96714,             0.97794,             0.65124,            0.019315,           0.0069858,           0.0015963,            0.002674,            0.002674,            0.002674
                  39,            0.023366,           0.0067277,           0.0022339,             0.96541,             0.93822,             0.97292,             0.63938,            0.019166,           0.0069882,           0.0016511,            0.002476,            0.002476,            0.002476
                  40,            0.024117,            0.007006,           0.0026325,              0.9541,             0.96218,             0.97402,              0.6613,            0.018966,           0.0069732,           0.0014725,            0.002278,            0.002278,            0.002278
                  41,            0.023232,           0.0067009,           0.0023294,             0.95699,             0.94613,             0.97683,              0.6763,            0.018756,           0.0069592,           0.0014334,             0.00208,             0.00208,             0.00208
                  42,            0.022371,           0.0066569,           0.0018889,             0.95744,             0.95699,             0.98116,             0.67005,            0.019106,           0.0069493,           0.0014218,            0.001882,            0.001882,            0.001882
                  43,            0.023159,            0.006583,           0.0020721,             0.96418,             0.95695,              0.9788,             0.67883,            0.018923,           0.0068949,           0.0013439,            0.001684,            0.001684,            0.001684
                  44,            0.022886,           0.0066543,           0.0024504,             0.96044,             0.96043,             0.98213,             0.67399,            0.018696,           0.0068619,           0.0013291,            0.001486,            0.001486,            0.001486
                  45,            0.022435,           0.0068215,           0.0022106,             0.95604,             0.96793,             0.97763,             0.67157,             0.01876,           0.0068686,           0.0012883,            0.001288,            0.001288,            0.001288
                  46,            0.022021,           0.0065382,           0.0019894,             0.94988,             0.96555,             0.97574,             0.68175,            0.018235,           0.0068376,           0.0012691,             0.00109,             0.00109,             0.00109
                  47,            0.022041,           0.0067838,           0.0021754,             0.95718,             0.96922,             0.98043,             0.67187,            0.018332,           0.0068286,           0.0012556,            0.000892,            0.000892,            0.000892
                  48,            0.021244,           0.0066954,           0.0018187,             0.96732,              0.9641,             0.97986,             0.68253,            0.017935,           0.0067751,           0.0012551,            0.000694,            0.000694,            0.000694
                  49,            0.021598,           0.0065537,           0.0022073,             0.96259,             0.96777,             0.98377,             0.68055,            0.017885,             0.00678,           0.0012547,            0.000496,            0.000496,            0.000496
